,Treningsdag 1,Treningsdag 2,Treningsdag 3
0,STRAIGHT-GLIDING,STRAIGHT-GLIDING,STRAIGHT-GLIDING
1,LØYPE 2,LØYPE 1,LØYPE 3
2,LØYPE 3,LØYPE 2,LØYPE 1
3,LØYPE 1,STRAIGHT-GLIDING,LØYPE 3
4,LØYPE 2,LØYPE 1,LØYPE 2
5,LØYPE 3,LØYPE 2,LØYPE 1
6,LØYPE 1,LØYPE 3,LØYPE 2
7,LØYPE 3,LØYPE 3,STRAIGHT-GLIDING
8,STRAIGHT-GLIDING,LØYPE 2,LØYPE 3
9,LØYPE 1,LØYPE 1,STRAIGHT-GLIDING
10,STRAIGHT-GLIDING,STRAIGHT-GLIDING,LØYPE 1
11,LØYPE 2,LØYPE 3,LØYPE 2
